"","polviews","race"
"3118","Moderate","White"
"3119","Slightly Conservative","White"
"3120","Conservative","White"
"3121","Conservative","White"
"3122","Conservative","White"
"3123","Slightly Conservative","White"
"3124","Slightly Conservative","White"
"3125","Slightly Conservative","White"
"3127","Conservative","White"
"3128","Moderate","Black"
"3129","Liberal","Black"
"3130","Moderate","Black"
"3131","Moderate","Black"
"3132","Conservative","Black"
"3133","Moderate","White"
"3134","Moderate","White"
"3136","Extrmly Conservative","White"
"3137","Liberal","Black"
"3138","Moderate","Black"
"3139","Conservative","Black"
"3140","Conservative","Black"
"3141","Slightly Liberal","Black"
"3142","Liberal","Black"
"3143","Liberal","White"
"3144","Moderate","White"
"3145","Moderate","White"
"3146","Extrmly Conservative","White"
"3147","Slightly Conservative","White"
"3148","Moderate","White"
"3149","Slightly Liberal","White"
"3150","Moderate","White"
"3151","Moderate","White"
"3153","Slightly Conservative","White"
"3154","Moderate","White"
"3155","Slightly Liberal","White"
"3156","Moderate","White"
"3157","Slightly Liberal","White"
"3158","Slightly Conservative","White"
"3159","Slightly Liberal","White"
"3160","Moderate","White"
"3161","Moderate","White"
"3162","Slightly Liberal","White"
"3163","Liberal","White"
"3164","Liberal","White"
"3165","Moderate","White"
"3166","Slightly Liberal","White"
"3167","Moderate","White"
"3168","Moderate","White"
"3169","Conservative","White"
"3170","Liberal","White"
"3171","Moderate","White"
"3172","Slightly Conservative","White"
"3173","Slightly Conservative","Black"
"3174","Slightly Liberal","Black"
"3178","Extrmly Conservative","White"
"3179","Extrmly Conservative","White"
"3180","Moderate","White"
"3181","Moderate","White"
"3182","Slightly Liberal","White"
"3183","Slightly Liberal","White"
"3184","Moderate","White"
"3185","Conservative","White"
"3186","Moderate","White"
"3187","Slightly Liberal","White"
"3188","Moderate","White"
"3189","Slightly Conservative","White"
"3190","Extrmly Conservative","White"
"3191","Moderate","White"
"3192","Slightly Conservative","White"
"3193","Conservative","White"
"3195","Moderate","White"
"3196","Slightly Conservative","White"
"3197","Moderate","White"
"3198","Moderate","White"
"3199","Moderate","White"
